eog,emg
-8,1
-11,1
-13,-2
-11,0
-11,0
-11,-1
-7,1
-4,0
-5,1
-4,0
-3,0
-5,1
-6,-1
-4,0
-4,0
-5,-1
-4,1
-4,-1
-6,-1
-6,-1
-3,-2
-3,-3
-2,-2
1,9
3,7
2,-1
1,-7
-2,-13
-6,3
-3,16
2,4
0,-5
-3,-2
-1,1
-2,-1
-6,-2
-5,2
-3,2
-5,-2
-4,-7
-1,-2
-2,2
-2,-1
0,1
0,4
-1,5
1,1
2,0
-2,0
-3,-5
-3,-2
-5,2
-4,-2
-1,0
-2,1
-4,-1
-4,1
-5,1
-9,2
-9,1
-7,0
-8,1
-8,-1
-7,1
-7,0
-9,-1
-8,1
-9,-1
-12,1
-12,0
-11,1
-12,2
-12,-2
-9,0
-9,0
-11,-1
-9,0
-8,-1
-10,-1
-10,-1
-10,-1
-11,0
-12,0
-10,1
-10,0
-12,-1
-10,0
-9,-1
-10,1
-9,0
-8,-1
-10,0
-9,1
-5,3
-4,2
-4,1
-2,0
0,-3
-1,-1
1,-1
3,-1
2,0
2,-1
4,1
4,1
2,-1
3,1
3,1
1,1
2,-1
3,-2
2,1
3,1
7,1
6,-1
4,-1
6,1
7,-1
4,0
2,1
3,1
1,0
-1,-2
1,0
1,1
0,0
2,1
3,-1
2,0
3,1
5,0
3,0
1,-3
1,0
0,1
-2,0
-1,0
1,-1
2,-1
4,0
6,1
5,2
4,0
6,1
6,1
5,-1
7,1
8,-1
5,-1
5,-1
5,-1
3,0
2,-1
4,0
3,0
0,0
1,1
0,0
-3,0
-3,1
-2,0
-3,1
-3,0
0,2
0,1
-2,-1
-2,0
-3,-2
-6,-1
-4,0
-1,0
-3,2
-5,-1
-5,0
-7,0
-8,-1
-6,0
-5,-1
-7,0
-6,1
-4,0
-4,1
-4,-2
-3,0
-3,0
-5,-1
-4,1
-3,-1
-4,0
-2,1
1,1
-1,0
-3,-2
-2,0
-4,0
-5,-1
-3,1
-2,-1
-4,0
-3,1
-1,0
-2,2
0,1
4,2
5,2
4,-1
4,-1
2,-3
-2,-2
-2,-3
-1,-2
-2,1
0,1
5,2
8,2
9,0
11,0
10,-1
7,-1
8,0
9,-1
7,0
5,-1
6,1
6,0
5,-1
8,1
10,0
8,0
8,0
9,-1
7,0
6,0
7,1
5,1
3,-1
5,1
7,0
6,1
7,1
8,-2
7,-1
6,-1
7,0
5,1
2,-1
1,0
0,0
-4,0
-6,1
-5,0
-7,0
-8,-1
-6,1
-8,1
-10,-1
-8,0
-7,0
-8,1
-7,1
-4,0
-4,0
-3,-1
0,0
0,-1
-2,-2
-2,-1
-2,-1
-5,1
-5,-1
-4,-1
-4,2
-3,1
1,2
0,0
-3,-2
-3,1
-3,0
-5,0
-4,0
-1,-1
-2,2
-2,0
-1,-1
-1,0
-1,2
1,3
1,-4
-2,-6
-1,-2
1,2
0,3
-1,-1
0,1
-1,1
-4,-1
-3,1
-4,1
-6,0
-5,0
-4,0
-5,2
-5,0
-2,0
-1,-2
-1,-3
0,1
1,0
-1,0
0,2
2,0
0,-1
-2,-3
-1,-1
-3,0
-6,-2
-4,0
-3,1
-4,1
-3,0
-1,0
-3,2
-5,0
-3,0
-4,0
-5,-2
-2,0
1,0
0,0
0,1
1,1
-2,1
-2,0
1,1
2,1
0,-1
1,0
1,-1
-1,-2
-1,-2
0,-2
-2,0
-2,-1
1,0
2,1
2,1
6,2
8,0
7,1
8,1
8,-1
6,0
6,0
8,1
8,1
7,-1
10,0
13,0
12,1
11,-1
11,-3
9,-1
8,-1
10,1
10,1
7,-1
7,0
6,0
3,1
4,2
6,1
4,1
3,-1
4,0
3,1
1,-1
4,0
5,-1
3,1
3,2
3,0
1,1
0,0
2,0
2,0
1,0
4,2
5,2
3,0
2,-2
0,-4
-5,-3
-7,-2
-5,1
-5,1
-7,0
-6,1
-6,0
-9,0
-8,1
-5,0
-5,1
-5,-1
-3,1
-3,2
-4,1
-3,2
-3,-2
-6,-3
-7,-2
-7,-2
-10,0
-11,-2
-9,1
-8,2
-9,1
-6,2
-5,0
-6,0
-6,0
-5,0
-7,2
-7,1
-5,1
-4,0
-3,-1
1,0
2,0
1,1
2,1
3,0
1,1
0,-2
2,-1
2,-1
0,-2
1,1
2,-1
0,0
1,1
3,1
2,1
2,-1
2,-1
-2,-1
-7,-1
-8,1
-8,-1
-9,0
-6,1
-3,0
-5,1
-6,0
-4,1
-4,0
-5,-2
-3,0
-3,0
-5,0
-3,0
-1,0
-2,2
-4,-1
-2,-2
-3,-1
-3,0
0,3
3,-1
2,-2
4,0
7,1
5,2
5,0
6,1
4,1
2,-1
3,1
3,1
1,0
0,-1
0,-2
-3,-1
-2,-1
0,1
0,0
-2,-2
-2,0
-2,0
-3,0
0,1
3,0
3,1
3,0
3,0
0,0
-3,-1
-1,0
0,-1
-1,0
-1,0
-1,-1
-3,0
-4,-1
-4,0
-5,0
-6,-1
-2,1
-1,0
-3,1
-3,2
-3,0
-5,-1
-4,-2
-1,0
-1,1
-2,-1
1,1
3,1
2,1
3,1
4,0
2,1
1,0
3,1
3,2
2,1
4,1
4,-2
1,-2
2,-1
2,-2
0,0
-1,-2
2,0
1,1
0,-1
3,1
5,0
5,1
8,1
10,1
8,1
7,-1
7,1
5,1
2,-2
4,0
5,0
4,0
6,1
7,0
4,-1
3,-1
5,0
4,0
1,0
2,0
3,0
3,1
5,1
8,0
7,2
7,0
11,0
12,1
14,0
17,2
18,0
16,-2
14,-3
13,-3
9,0
7,-2
8,0
5,1
1,-2
0,0
-1,0
-4,1
-3,1
-2,-2
-4,1
-3,0
-2,-1
-3,1
-4,2
-1,1
-1,-1
-5,-1
-5,0
-4,2
-3,3
0,0
4,-1
4,-1
3,0
5,3
5,0
1,-3
1,-3
1,-2
-2,-1
-3,-2
-2,0
-4,1
-6,0
-5,2
-6,0
-9,0
-8,0
-7,0
-9,1
-9,1
-6,1
-6,-1
-7,-2
-4,1
-2,0
-3,1
-1,1
1,0
1,1
3,-1
5,-1
4,-1
3,-2
4,1
4,0
2,0
4,-1
5,-2
3,0
0,-1
0,0
-3,1
-5,0
-3,1
-2,1
-3,3
-1,3
1,0
1,-1
2,0
6,5
7,0
5,-5
7,-2
7,-2
5,-3
5,-1
7,0
7,3
8,1
10,0
8,2
6,1
7,0
7,-1
7,0
10,0
13,-1
11,0
10,-1
11,0
10,0
8,-2
9,0
9,-1
5,0
5,0
4,-2
0,0
-2,-1
-1,0
-3,2
-5,-1
-3,1
-3,0
-6,0
-6,1
-5,0
-7,1
-7,0
-4,-1
-5,0
-6,-1
-4,1
-3,0
-4,0
-2,1
-1,1
-2,2
-1,1
2,1
2,0
0,-3
2,-1
2,-1
-1,0
-3,1
-6,0
-12,1
-14,0
-13,0
-13,1
-12,-1
-8,1
-5,1
-5,0
-2,1
1,1
1,2
3,-1
6,0
6,0
4,-1
5,1
5,-1
2,-3
2,-3
2,-2
-1,1
-2,0
0,0
-1,0
-2,0
1,2
2,1
1,1
4,1
6,0
5,2
4,1
4,0
1,-1
-2,-3
-2,-1
-2,0
-4,0
-1,1
2,0
3,1
4,1
8,0
9,0
9,-1
13,3
13,3
11,1
10,0
9,-2
5,-2
2,-5
1,-4
-2,-2
-6,-1
-5,1
-5,1
-7,1
-5,2
-3,1
-3,1
-1,1
2,1
1,1
-2,-1
-1,1
-2,0
-3,0
-1,0
1,-1
0,0
0,-1
2,0
2,1
1,-2
4,0
5,0
3,1
5,0
6,-1
2,0
0,-1
0,1
-3,1
-5,0
-3,1
-3,0
-6,0
-6,0
-5,-1
-6,0
-4,0
0,1
0,1
-1,0
1,1
0,0
-3,0
-3,0
-3,-1
-6,0
-6,-1
-4,0
-3,2
-3,-1
0,1
2,0
1,0
2,1
4,0
4,1
7,1
11,1
10,-1
7,-3
7,-1
5,-1
1,-1
0,0
-1,-1
-4,0
-6,-1
-5,0
-7,1
-10,0
-9,1
-9,0
-10,0
-9,0
-7,0
-7,2
-6,0
-2,0
-1,1
0,0
5,2
7,0
5,-2
5,-1
6,-2
4,0
4,0
7,-1
6,0
6,-1
8,2
9,1
7,-1
9,0
10,0
9,1
9,0
10,0
9,1
8,-1
10,0
11,0
9,0
9,0
9,0
7,2
7,-1
9,-1
9,-1
7,-1
8,2
8,0
5,-1
6,1
6,1
3,2
3,0
5,0
4,-1
2,-2
3,0
3,-1
1,-1
3,0
5,-1
3,1
3,0
5,1
3,1
1,-1
1,0
-1,-1
-4,-1
-2,0
1,-1
1,1
2,0
4,1
3,1
1,-2
2,0
4,0
3,1
4,1
4,0
1,1
0,-1
3,-1
4,0
3,-1
5,2
7,1
6,0
5,0
4,-2
0,-1
-2,-2
-1,-1
-1,0
-1,-1
2,1
3,1
2,1
4,1
6,0
3,1
2,0
2,1
-1,1
-5,-1
-5,1
-5,0
-4,1
1,3
5,1
5,1
6,-1
6,-3
3,-3
-1,-5
0,-2
-1,-1
-3,0
-3,2
-2,0
-5,2
-5,1
-4,0
-6,1
-8,-1
-6,1
-6,0
-9,-1
-10,0
-9,-1
-11,0
-10,0
-7,0
-9,0
-10,-1
-7,2
-7,1
-10,1
-10,0
-10,-2
-13,0
-13,-1
-10,0
-10,1
-11,0
-10,1
-11,-1
-15,-1
-15,1
-14,0
-16,0
-16,0
-14,0
-15,1
-16,0
-14,2
-12,0
-12,-1
-9,1
-6,1
-7,1
-7,-1
-6,-1
-7,0
-6,-1
-2,0
1,0
1,0
3,0
3,-1
1,1
0,1
1,0
-3,-1
-7,-2
-8,0
-9,0
-10,0
-7,1
-4,0
-5,1
-4,0
-1,1
1,1
1,-1
4,0
3,-1
0,-1
0,0
-1,0
-4,1
-4,-1
-2,-1
-2,0
-3,-1
-2,1
-3,0
-6,0
-6,1
-4,-1
-6,0
-6,1
-3,1
-3,1
-4,-1
-1,2
0,2
-1,1
1,1
1,-2
-2,-2
-3,-2
-2,-1
-4,0
-5,-1
-4,1
-4,0
-7,0
-6,1
-6,0
-8,1
-7,0
-5,1
-8,2
-11,-1
-9,0
-9,0
-10,0
-7,0
-4,-1
-3,0
-2,0
1,1
1,0
0,-2
1,1
-1,0
-3,-1
-1,0
0,0
-2,1
-2,0
-1,0
-3,0
-4,-1
-2,1
-2,0
-3,0
-3,1
-3,0
-4,1
-3,-1
-1,0
-1,1
-1,-1
2,0
3,0
1,-1
1,0
1,0
-1,-1
0,-1
1,-1
0,0
-2,-1
-1,0
-2,-1
-5,-1
-4,1
-2,0
-3,1
-3,0
-2,0
-4,2
-5,0
-1,1
-1,-1
-3,-1
-2,0
-1,0
-2,1
-1,-1
2,-1
0,0
-3,-2
-2,0
-1,-1
-1,0
2,1
4,1
3,2
5,2
8,2
8,3
9,-1
11,-1
10,-3
7,-5
8,-2
10,-2
9,0
11,0
14,1
15,2
13,-1
12,1
10,0
7,0
7,1
9,0
8,1
8,-1
9,0
5,0
2,-1
3,1
2,0
-1,-1
0,0
0,-1
-3,1
-2,1
0,0
-2,0
-4,-1
-4,2
-4,1
-4,1
-2,0
-1,-2
-4,-1
-5,-1
-4,-1
-4,1
-5,0
-3,2
-3,0
-5,-1
-4,0
-3,0
-4,1
-3,0
-1,0
-2,1
-3,0
-1,1
-1,0
-3,-1
0,1
2,0
0,2
0,1
2,-2
1,-2
0,-3
1,0
0,0
-4,0
-5,0
-5,0
-6,1
-6,1
-4,1
-5,1
-7,-2
-7,1
-7,0
-9,0
-7,1
-5,0
-6,0
-7,0
-7,1
-8,1
-8,-1
-5,1
-5,0
-7,-1
-5,0
-3,-1
-4,0
-3,0
-1,0
-2,1
-2,0
2,1
3,0
4,0
7,1
11,-1
10,0
10,-1
11,0
9,1
8,-1
10,1
10,0
9,0
10,1
10,-1
6,0
4,-2
4,-1
0,0
-3,-2
-1,0
1,-1
1,-1
4,2
5,1
2,1
1,1
1,1
-2,2
-3,-1
-1,0
0,-1
-1,-1
1,1
2,0
0,1
2,0
6,0
5,0
3,-1
4,0
3,-1
0,-1
2,0
4,0
3,2
5,0
7,-1
6,0
5,-2
8,1
8,1
7,-1
7,1
7,0
2,1
-1,-1
0,0
-2,1
-2,0
2,3
5,2
5,-1
4,-1
2,-3
-3,0
-3,0
-1,-1
-2,-1
-3,-2
-1,1
0,1
1,1
5,2
8,0
6,1
5,-1
6,-1
4,0
3,-2
5,1
4,0
2,-1
3,1
4,0
3,1
4,1
5,-1
2,0
0,-1
1,2
1,2
0,1
2,2
3,0
2,1
3,0
4,-1
2,-2
1,-4
2,-2
3,-1
2,-1
4,0
5,-1
4,1
4,1
4,1
0,2
-4,0
-4,2
-5,0
-6,-1
-4,1
-2,0
-3,1
-2,-1
0,-1
-2,0
-5,-2
-4,0
-5,0
-8,0
-7,2
-6,0
-7,0
-5,0
-2,1
-1,1
-1,-1
1,0
1,0
0,-1
1,2
1,0
-2,-1
-2,-2
-1,-1
-2,0
-1,-1
3,1
4,0
2,0
2,1
2,-1
-2,0
-3,0
-1,0
-1,1
0,0
4,1
5,-1
4,-1
7,0
8,-1
6,1
8,0
11,0
11,1
11,-2
13,-1
11,-1
8,-2
7,0
6,-1
2,0
2,0
2,0
-1,2
-4,-1
-3,0
-3,0
-4,0
-2,1
-2,0
-3,1
-1,0
3,0
3,1
3,0
5,1
5,0
4,-2
5,0
7,-1
5,-1
5,-2
6,-2
5,0
3,0
3,1
2,0
-2,-1
-1,0
1,0
0,2
1,1
3,0
2,1
1,0
3,1
2,0
1,0
1,1
1,0
-1,0
-1,-2
-1,-1
-4,0
-7,-2
-6,0
-8,-1
-13,-1
-13,1
-12,0
-13,1
-11,1
-9,0
-10,1
-11,0
-9,0
-9,1
-10,0
-8,1
-6,-1
-7,0
-5,0
-2,0
-3,1
-4,-1
-3,0
-3,0
-4,-1
-1,1
2,0
1,0
3,0
5,-1
2,-1
-1,-2
-1,1
-3,1
-5,0
-3,1
-3,0
-6,1
-6,0
-4,-1
-5,0
-5,-2
-2,0
0,1
1,2
5,3
7,-2
4,-2
4,-2
4,-1
2,0
1,-2
4,0
5,1
3,0
6,1
8,0
8,1
11,1
14,1
11,1
9,-1
9,0
7,0
4,-1
5,1
7,1
7,2
9,3
12,3
10,1
8,-3
6,-4
3,-4
-1,-4
0,-1
1,-1
0,1
1,2
3,2
2,3
1,-1
3,0
2,0
-2,-1
-1,1
-1,-1
-3,1
-2,1
0,0
-1,1
-2,-1
1,1
1,1
1,1
4,1
5,-1
3,0
2,0
2,-1
0,0
-1,-2
0,0
-1,-1
-4,-2
-3,1
-2,0
-3,0
-3,0
-2,0
-5,1
-5,-1
-2,2
0,2
-1,0
1,1
2,-1
-1,-1
-1,-1
-1,-2
-4,0
-5,-1
-2,0
-1,0
-1,0
-1,1
-2,0
-5,0
-4,0
0,0
1,1
2,0
5,1
6,0
5,-2
7,0
7,-1
4,1
4,0
7,0
8,1
9,-2
11,0
9,0
6,-2
5,0
4,-1
1,0
1,2
4,2
3,0
3,-2
4,0
2,0
1,0
4,1
5,-1
4,1
5,1
6,0
4,1
2,-1
4,0
3,1
1,1
1,1
-1,-2
-4,-1
-4,-1
-2,-1
-3,0
-3,-2
0,0
0,1
-2,-1
-1,0
-1,-1
-4,0
-3,0
-1,1
-2,2
-2,-1
1,1
2,1
1,-1
3,0
5,-1
5,0
6,1
7,0
4,-1
1,-3
0,-1
-2,-1
-6,0
-5,1
-4,0
-5,1
-3,1
0,1
1,2
1,0
3,0
1,-1
-1,-2
0,0
-1,-1
-4,0
-5,0
-5,0
-7,2
-8,0
-6,1
-6,1
-7,-3
-5,-1
-4,-1
-5,0
-4,0
-2,-1
-2,0
-2,-2
2,0
4,1
3,0
3,2
3,3
-1,3
-2,0
-1,-3
-3,-1
-4,-1
-3,-1
-5,-2
-8,-1
-8,4
-9,2
-13,-1
-13,-3
-12,-3
-13,-1
-12,-2
-9,2
-7,6
-7,2
-4,2
-3,0
-4,-4
-2,-1
1,1
1,4
1,3
2,-1
-2,-4
-7,-5
-8,-6
-9,-7
-12,1
-11,8
-8,6
-6,1
-3,-3
3,1
6,4
7,1
9,-2
11,-3
10,2
13,4
15,1
13,-1
12,-3
11,1
8,2
5,0
5,1
6,-2
4,0
7,0
10,-1
11,0
11,-1
13,0
11,1
9,-1
8,0
6,0
3,1
3,0
5,-1
3,0
2,-1
3,0
2,-1
0,-1
1,1
1,-1
-1,0
0,1
2,1
1,0
0,-4
2,-2
0,0
-2,-1
-2,2
-2,0
-3,1
-1,2
2,0
1,1
1,-1
3,0
3,1
2,0
4,0
6,-1
3,-1
3,0
2,0
-3,1
-6,-1
-6,0
-8,0
-10,-1
-8,1
-6,0
-7,1
-4,1
-1,0
-1,2
0,-1
2,0
1,-1
-1,-3
0,2
0,2
-1,2
1,0
3,-2
1,1
-1,-1
-1,-2
-4,-1
-8,-1
-9,3
-10,1
-15,-1
-16,-2
-17,-1
-21,3
-22,0
-21,0
-19,0
-18,1
-13,2
-8,-1
-7,0
-5,2
-1,1
-1,0
0,-2
3,0
4,-1
2,-4
3,-4
1,0
-3,4
-4,3
-2,1
-3,3
-2,1
1,1
0,-2
-3,-1
-3,4
-5,-7
-8,-12
-7,-9
-4,-3
-3,12
-2,12
1,4
2,0
4,-4
8,0
11,2
10,-2
9,-2
10,0
8,1
7,-1
9,1
8,0
5,-4
4,-2
2,1
-2,3
-2,0
-1,-4
-2,1
0,6
4,6
7,0
7,-3
9,-1
10,-3
8,0
8,4
9,0
7,-4
5,-3
6,-1
5,1
3,4
5,5
6,-1
5,-7
6,-25
6,-27
1,-29
-4,-11
-5,69
-5,5
-8,-109
-6,-14
0,121
8,146
13,46
12,-86
5,-21
2,73
3,-14
0,-83
-5,-79
-5,-29
-5,30
-5,22
-3,0
-1,-11
-4,-3
-6,14
-6,17
-7,10
-8,-6
-8,-13
-8,-4
-8,11
-5,12
-2,2
-3,-5
-4,-5
-2,-3
-4,2
-8,1
-9,-4
-11,0
-15,5
-14,0
-12,-3
-12,2
-13,3
-12,0
-14,-3
-17,-2
-16,1
-15,2
-16,1
-14,-2
-12,1
-13,3
-13,0
-10,2
-10,2
-10,-2
-5,-1
-1,-1
-1,1
0,-1
1,-5
-1,0
-2,5
0,6
0,-2
-1,-10
-1,-1
-3,1
-5,0
-4,3
-5,0
-6,-3
-5,-4
-1,-4
0,4
-1,8
1,3
1,0
-1,-2
0,-3
2,0
4,3
6,-3
10,-1
11,0
9,-2
9,1
6,1
1,-1
-1,-1
0,-1
-1,-1
1,3
4,5
4,-1
2,-5
3,-2
4,1
3,3
5,0
8,-1
7,1
7,0
9,1
8,2
8,-1
11,-2
12,-3
9,-1
9,0
9,-2
6,-2
5,-1
5,3
3,3
1,-1
3,0
5,1
4,2
6,1
8,-1
7,0
8,-1
11,1
11,1
11,-1
14,-1
13,-1
10,1
8,1
7,-1
2,-1
1,-2
4,0
3,1
3,-1
5,0
7,0
6,1
7,1
8,-1
5,0
3,0
3,1
1,1
-2,-2
-2,-1
-1,-1
-2,1
-1,2
1,0
-1,1
-1,1
0,1
-1,0
-3,-2
-3,-1
-3,-1
-4,-1
-3,0
-1,-1
-3,1
-4,1
-3,0
-4,0
-7,-1
-6,0
-6,-1
-9,-1
-8,1
-6,0
-7,1
-6,0
-3,1
-4,2
-7,0
-7,1
-9,0
-13,-1
-13,-1
-11,-2
-11,0
-8,0
-3,1
-1,2
-2,0
-1,2
-2,0
-5,-2
-5,-2
-5,-3
-7,-1
-8,-1
-7,1
-9,2
-10,0
-8,2
-7,0
-8,-1
-6,0
-4,-1
-7,1
-8,-1
-8,0
-10,0
-11,-2
-9,0
-7,0
-8,0
-8,1
-7,0
-8,1
-6,1
-2,1
-1,0
0,-1
4,1
6,0
5,0
5,-1
6,-2
6,1
7,1
10,1
9,1
6,-2
6,0
4,0
2,-1
3,0
5,1
4,2
5,-1
7,-1
8,0
8,-1
10,1
10,0
8,0
8,0
9,-2
6,0
6,0
8,1
8,0
7,-2
8,1
9,2
7,2
9,1
10,-3
7,-2
6,-2
6,-1
3,1
0,-1
0,0
-1,0
-4,0
-4,1
-4,-1
-7,0
-8,0
-6,1
-6,2
-7,0
-5,1
-4,-1
-6,0
-6,0
-6,-1
-10,0
-11,1
-9,2
-10,0
-12,-3
-9,0
-8,0
-9,0
-7,0
-6,1
-8,3
-8,0
-7,-1
-8,0
-9,-1
-7,1
-8,0
-10,-1
-10,1
-8,0
-8,0
-7,-1
-5,0
-7,1
-9,-1
-8,2
-9,1
-13,-1
-13,-1
-13,-1
-16,-1
-17,-1
-16,0
-16,0
-16,0
-12,1
-10,0
-11,1
-9,1
-7,0
-8,2
-7,0
-5,0
-6,0
-6,-1
-2,0
-1,-1
-3,0
-1,1
1,-1
1,1
2,0
4,-1
3,-1
1,-2
4,1
5,0
4,-2
4,-1
4,1
2,2
1,0
2,0
-1,0
-3,-1
-1,1
0,0
-1,-1
2,0
6,0
6,2
6,0
8,0
7,1
8,0
11,1
12,-2
10,-2
12,0
14,-1
14,1
15,-1
17,-1
15,-1
11,-2
12,1
11,1
10,0
11,1
13,1
12,3
12,2
15,1
14,0
12,-3
12,-2
10,-2
8,-1
9,0
10,-2
9,-1
10,-1
13,1
13,2
12,0
15,1
15,1
14,0
15,-1
14,-2
12,1
12,1
14,1
14,2
14,0
17,2
19,1
17,-1
18,-1
18,-1
16,1
18,1
21,1
19,-1
17,-3
17,0
15,0
12,0
13,0
14,-1
13,1
13,-1
16,1
15,2
14,-1
16,1
15,0
12,-1
14,0
15,-1
14,0
14,0
16,1
15,1
14,-1
17,2
19,0
17,-1
19,1
20,0
18,0
17,-1
17,-2
16,0
14,-1
16,0
15,0
12,0
12,0
11,0
8,1
6,-2
7,-1
6,1
5,0
6,2
6,1
6,1
9,1
11,0
9,1
7,-2
6,-1
4,0
1,-1
3,2
3,-1
1,-2
2,0
3,-1
2,1
4,0
6,0
5,0
4,0
6,2
5,0
3,-2
5,0
7,-1
5,1
5,1
8,0
8,2
9,1
11,0
11,-1
8,-1
10,0
11,-1
8,0
7,0
7,0
4,-1
1,-2
2,1
1,1
-3,0
-3,0
-2,0
-4,1
-3,0
0,1
-1,2
-2,-1
1,1
3,1
4,1
7,1
9,0
7,0
7,-2
8,-2
6,-1
3,-2
2,1
0,0
-3,-1
-4,1
-4,0
-6,2
-7,1
-6,0
-8,1
-10,0
-8,2
-7,0
-7,-2
-4,0
-1,-2
-3,0
-3,0
-3,0
-6,2
-9,-1
-7,-1
-7,0
-9,0
-9,1
-10,0
-14,0
-15,1
-14,1
-15,1
-15,-1
-11,1
-9,0
-9,0
-6,0
-4,-1
-6,-1
-7,-1
-6,0
-6,2
-5,1
0,3
0,2
-2,1
-2,-1
-3,-4
-7,-3
-8,-3
-5,-1
-4,1
-2,-1
2,1
2,1
1,0
2,1
2,-1
-1,1
-3,1
-5,0
-9,0
-12,-1
-11,1
-11,0
-12,0
-8,2
-4,0
-4,-2
-4,-3
-2,-2
-1,2
0,0
4,1
4,1
1,0
1,1
0,-1
-3,1
-3,-1
-1,0
-2,1
-2,-1
0,1
0,-1
-2,-2
-1,0
-1,-1
-5,0
-6,-1
-4,0
-4,3
-3,0
0,0
0,0
-2,-1
-2,1
-2,-1
-5,1
-6,0
-4,0
-6,1
-8,-2
-8,-1
-10,-1
-14,-2
-15,1
-15,1
-16,2
-13,1
-8,0
-8,0
-9,-1
-7,1
-8,0
-9,0
-8,1
-9,-1
-12,-1
-12,-2
-10,-2
-10,0
-9,-1
-6,1
-6,0
-7,1
-6,2
-6,0
-8,1
-7,0
-3,0
-3,1
-3,-2
-1,1
-1,1
-1,0
2,2
4,-1
1,-1
1,0
1,0
-3,-1
-6,-2
-5,0
-4,0
-4,0
-1,1
1,-1
-1,1
-1,0
0,0
-2,2
-4,0
-4,0
-6,0
-10,-1
-9,1
-7,0
-6,0
-3,0
0,1
-1,2
-1,-1
1,1
2,1
0,-2
0,0
0,-1
-2,0
-3,1
-2,0
-7,0
-11,-1
-13,0
-14,0
-16,1
-13,1
-11,-1
-12,0
-13,0
-12,0
-13,1
-11,-1
-7,0
-5,1
-6,1
-4,2
-3,0
-5,-1
-6,-3
-4,-2
-6,1
-7,-1
-5,0
-5,-1
-6,-1
-4,2
-2,1
-4,1
-4,1
-3,0
-6,1
-7,-1
-5,1
-5,1
-5,0
-2,0
-1,-1
-2,0
-1,-1
0,0
-2,1
-4,0
-2,1
-3,0
-5,0
-4,2
-4,2
-6,2
-6,0
-4,-1
-7,-1
-10,-4
-10,-1
-11,-2
-13,-2
-11,1
-10,1
-11,1
-8,1
-4,0
-2,1
-1,0
2,1
2,2
1,1
2,1
1,0
-2,1
-2,0
-1,-2
-3,-1
-5,-2
-3,1
-3,0
-4,-1
-3,0
-3,-1
-5,1
-5,1
-4,-1
-6,0
-5,-1
-1,1
1,1
2,0
6,1
9,0
10,1
12,1
13,-2
10,-1
9,-2
11,0
11,1
9,0
10,1
10,1
8,1
8,0
8,-1
5,0
3,-2
3,1
1,1
-2,-2
-2,-1
-2,-1
-4,0
-4,0
-2,0
-1,2
0,1
4,2
5,0
4,-2
5,0
7,-1
5,0
5,0
5,0
3,0
0,-2
0,0
-1,0
-3,-1
-2,0
-1,0
-3,2
-2,2
-1,1
-2,1
-3,-1
-1,1
-1,1
-1,0
2,2
6,1
6,0
8,-2
11,-3
10,-1
11,-1
13,0
11,0
8,-1
8,1
7,0
5,0
6,0
7,-1
4,2
2,1
2,2
-1,1
-5,-1
-4,0
-3,-1
-3,-1
1,0
5,0
5,2
5,1
8,-1
8,-1
7,-1
9,1
8,0
5,-1
3,-1
4,0
3,1
2,-1
3,1
0,0
-4,-2
-4,1
-4,0
-5,1
0,1
5,1
5,2
5,-1
7,1
6,1
3,-1
3,0
1,-2
-3,-1
-4,-1
-5,-2
-8,0
-11,-1
-10,0
-12,0
-15,-1
-14,1
-12,1
-13,2
-11,2
-8,1
-10,1
-11,-1
-10,0
-10,0
-12,-1
-10,1
-8,2
-8,1
-7,0
-8,0
-12,-1
-16,-3
-17,-1
-20,-1
-22,-1
-19,1
-16,1
-15,2
-11,3
-6,1
-6,2
-6,1
-3,1
-2,0
-2,-2
-1,-4
-2,-6
-4,-3
-1,-1
4,1
7,2
10,1
13,2
12,2
7,-1
6,1
3,0
0,0
0,0
2,0
0,1
0,-1
3,-1
2,-1
-1,-1
0,1
0,0
-4,0
-6,-1
-5,-1
-5,1
-2,0
3,2
6,2
7,0
11,2
13,1
10,0
7,-1
5,-2
0,-1
-4,-1
-4,0
-5,-1
-8,-1
-8,1
-8,-1
-11,0
-11,1
-9,1
-8,2
-6,0
-2,1
0,1
0,0
3,1
5,0
5,-1
7,-1
9,-1
9,0
9,-2
12,0
11,0
8,-1
7,1
4,-1
1,-1
0,0
1,0
0,1
-1,-1
1,0
1,0
0,-1
2,0
2,-1
0,-1
1,0
3,0
3,2
4,1
8,1
9,2
9,1
10,1
9,-2
6,-1
8,0
11,0
11,1
11,-2
13,-1
10,0
7,-1
8,1
8,0
7,-1
7,0
8,0
5,1
4,-1
5,1
5,1
3,-1
6,2
7,1
6,0
7,1
7,-1
5,-1
4,-1
6,0
6,0
3,-1
4,0
3,0
0,0
0,0
1,0
-1,2
-1,0
1,1
0,1
-3,0
-3,0
-4,-2
-6,-1
-7,-1
-7,0
-9,2
-10,0
-9,2
-9,2
-10,-3
-10,-2
-10,-1
-11,1
-10,2
-8,0
-10,0
-11,0
-8,1
-8,1
-9,-1
-6,1
-5,-1
-7,-1
-8,0
-8,-1
-11,0
-13,-1
-13,0
-16,0
-18,0
-14,2
-11,1
-11,1
-8,0
-5,-1
-6,-1
-7,-3
-5,0
-7,1
-10,0
-9,2
-9,0
-10,0
-7,1
-3,0
-3,0
-2,-2
1,0
1,1
0,0
4,3
5,2
3,2
4,2
6,0
5,0
3,-4
3,-4
1,-4
-2,-4
-1,-1
